epoch,training_loss,training_accuracy,validation_loss,validation_accuracy
1,0.19697856346196457,0.9244922399520874,0.12804564833641052,0.903533935546875
2,0.10883065450006346,0.9567502737045288,0.23236767947673798,0.9044890403747559
3,0.10339638826881259,0.9617682099342346,0.026282930746674538,0.963705837726593
4,0.07786480757088501,0.9710872173309326,0.09169670939445496,0.9560649394989014
5,0.06332397723354603,0.9765830636024475,0.3620653450489044,0.9579751491546631
6,0.06936856544128171,0.9729987978935242,0.002683070255443454,0.9646609425544739
7,0.055778811044385715,0.9787335991859436,0.04676608368754387,0.9808977842330933
8,0.04927607627770237,0.9811230301856995,0.09179352968931198,0.9742120504379272
9,0.050184097653755574,0.9789724946022034,0.05229013413190842,0.9799426794052124
10,0.0621064613144867,0.9768219590187073,0.14175260066986084,0.9312320947647095
11,0.05101313121803772,0.9830346703529358,0.002528323093429208,0.9560649394989014
12,0.04490396774478542,0.9859020113945007,0.0888497531414032,0.9570200443267822
13,0.044072044018896354,0.9842293858528137,0.17261312901973724,0.9503343105316162
14,0.04086311712700834,0.9851852059364319,0.19662867486476898,0.946513831615448
15,0.040281365082344416,0.9861409664154053,0.01501517929136753,0.970391571521759
16,0.03975957129117248,0.9856630563735962,0.0911400318145752,0.9484240412712097
17,0.03874278703499741,0.9863799214363098,0.3162158131599426,0.958930253982544
18,0.027605800070213498,0.9904420375823975,0.571596622467041,0.9484240412712097
19,0.032644604543822606,0.9870967864990234,0.012510268948972225,0.9474689364433289
20,0.03033356604588039,0.989008367061615,0.05826849862933159,0.9484240412712097
21,0.024821214187693345,0.9897252321243286,0.4046112596988678,0.9436485171318054
22,0.0306131118371651,0.9878135919570923,0.03490530699491501,0.9560649394989014
23,0.024260377662263036,0.9918757677078247,0.12649542093276978,0.9302769899368286
24,0.026816503886927478,0.990680992603302,0.00940443854779005,0.9369627237319946
25,0.028692143139058865,0.9885304570198059,0.10843807458877563,0.9388729929924011
26,0.03126327436007871,0.9899641871452332,0.03574953228235245,0.9493792057037354
27,0.027474760223266847,0.9882915019989014,0.47586914896965027,0.9484240412712097
28,0.02792733228042735,0.989008367061615,0.09770535677671432,0.9474689364433289
29,0.024376181155618997,0.9911589026451111,0.13833343982696533,0.9436485171318054
30,0.024564840974065884,0.9918757677078247,0.596947968006134,0.9474689364433289
31,0.027079349400708174,0.9880525469779968,0.004755822010338306,0.9379178881645203
32,0.026257619338517335,0.9875746965408325,0.23265166580677032,0.9493792057037354
33,0.018067601637574295,0.9937873482704163,0.3894293010234833,0.9484240412712097
34,0.019967175195363028,0.9935483932495117,0.06107621267437935,0.9551098346710205
35,0.017933237485936983,0.9933094382286072,0.31832167506217957,0.9541547298431396
36,0.018403871648882603,0.9942652583122253,0.5386495590209961,0.9293218851089478
37,0.017604591126699477,0.9933094382286072,0.005940244998782873,0.9551098346710205
38,0.018376803549124528,0.992353618144989,0.10203016549348831,0.9694364666938782
39,0.019384800904433785,0.9928315281867981,0.24195407330989838,0.9551098346710205
40,0.012861308367296874,0.9959378838539124,1.399882330588298e-05,0.9541547298431396
41,0.02880028868797864,0.9909199476242065,0.10828457772731781,0.9598853588104248
42,0.014907723417135095,0.9954599738121033,0.0033750436268746853,0.9531996250152588
43,0.017826807596640085,0.9940263032913208,0.1137213185429573,0.958930253982544
44,0.01806610564085037,0.9940263032913208,0.11649099737405777,0.9455587267875671
45,0.01866385669691161,0.9942652583122253,0.20094536244869232,0.9178605675697327
46,0.01611311941759788,0.9933094382286072,0.26720094680786133,0.9531996250152588
47,0.012154144989902414,0.9942652583122253,0.4463200271129608,0.9551098346710205
48,0.014995189421360126,0.9947431087493896,0.007249615620821714,0.9560649394989014
49,0.011218264893341583,0.9961768388748169,0.12393246591091156,0.9522445201873779
50,0.010173735553347267,0.9956989288330078,0.4429105222225189,0.9560649394989014
