epoch,training_loss,training_accuracy,validation_loss,validation_accuracy
1,0.19814568448949743,0.9237753748893738,0.33916178345680237,0.8042024970054626
2,0.11158174247689003,0.9636797904968262,1.2978013753890991,0.629417359828949
3,0.09135654573122945,0.9651135206222534,0.4723879396915436,0.8395415544509888
4,0.0794252506720977,0.9718040823936462,1.06024968624115,0.7545367479324341
5,0.07914454244698087,0.9710872173309326,0.566382884979248,0.8987583518028259
6,0.06503183738225037,0.9768219590187073,0.3803349733352661,0.9188156723976135
7,0.06513085881317103,0.9734767079353333,0.030475681647658348,0.9369627237319946
8,0.05639305094984697,0.9811230301856995,0.2528911232948303,0.9350525140762329
9,0.04996028789001981,0.9830346703529358,0.017258208245038986,0.9321871995925903
10,0.04999545003758163,0.9808841347694397,0.4824385941028595,0.9522445201873779
11,0.049372820816978615,0.9806451797485352,0.4962400794029236,0.9608405232429504
12,0.04241712876420864,0.9842293858528137,0.01103905402123928,0.9560649394989014
13,0.040672936008045876,0.989008367061615,0.2655007243156433,0.9283667802810669
14,0.03913085204988647,0.9854241609573364,0.009359335526823997,0.9541547298431396
15,0.032419287490802,0.9878135919570923,0.5294523239135742,0.9178605675697327
16,0.03646799794054983,0.9859020113945007,0.002139562275260687,0.9426934123039246
17,0.033793532854811764,0.9851852059364319,0.13482500612735748,0.9407832026481628
18,0.032424669038268475,0.9880525469779968,0.18478702008724213,0.9312320947647095
19,0.03273682432124567,0.9856630563735962,0.16092349588871002,0.976122260093689
20,0.029919819907132834,0.9902030825614929,0.3016512393951416,0.939828097820282
21,0.03573213126621651,0.9859020113945007,0.03709921985864639,0.9560649394989014
22,0.031133160611064914,0.989008367061615,0.553063154220581,0.9446036219596863
23,0.022796900664442836,0.9918757677078247,0.10904621332883835,0.9617956280708313
24,0.026838303131486423,0.9899641871452332,0.3992009460926056,0.9006685614585876
25,0.021985108059861005,0.9897252321243286,1.409643530845642,0.9684813618659973
26,0.03009331653043717,0.9887694120407104,0.25480082631111145,0.9369627237319946
27,0.024920776239268062,0.990680992603302,0.13020619750022888,0.9369627237319946
28,0.03402899383848784,0.9882915019989014,0.016946488991379738,0.9570200443267822
29,0.020942537390973015,0.9930704832077026,0.1303281933069229,0.9321871995925903
30,0.020603724167456355,0.9921147227287292,0.5070639848709106,0.9407832026481628
31,0.017032584957411265,0.9952210187911987,0.00023195137328002602,0.9598853588104248
32,0.0190718631620609,0.9928315281867981,0.18146121501922607,0.9503343105316162
33,0.020080258635943805,0.9928315281867981,0.6314575672149658,0.934097409248352
34,0.02044410380699506,0.9925925731658936,0.0011392056476324797,0.9723018407821655
35,0.01876596185202473,0.9933094382286072,0.2042190283536911,0.9264565706253052
36,0.01008586803569369,0.9971325993537903,0.0003796504461206496,0.963705837726593
37,0.028250816663428963,0.9909199476242065,0.0787561684846878,0.9493792057037354
38,0.01758913420782766,0.9928315281867981,0.08453243970870972,0.9474689364433289
39,0.01658651517573249,0.9925925731658936,0.012628407217562199,0.9579751491546631
40,0.021553685423612634,0.9930704832077026,0.07586804777383804,0.9360076189041138
41,0.017782147307677156,0.9937873482704163,0.16571207344532013,0.9560649394989014
42,0.013848216085068286,0.9952210187911987,0.0008544946904294193,0.9675262570381165
43,0.018378394983362255,0.9933094382286072,0.47507283091545105,0.9216809868812561
44,0.009939811629580618,0.9964157938957214,0.017435729503631592,0.9283667802810669
45,0.015824520266617636,0.9956989288330078,0.07019530981779099,0.9245463013648987
46,0.01397388454916383,0.9947431087493896,0.005962463095784187,0.9512894153594971
47,0.010771866158261399,0.9971325993537903,0.2756956219673157,0.9360076189041138
48,0.022287515926510296,0.9911589026451111,5.59227464691503e-06,0.9446036219596863
49,0.01079033740598368,0.9961768388748169,0.538460373878479,0.946513831615448
50,0.009343328653765774,0.9961768388748169,0.0002475458022672683,0.9350525140762329
51,0.010309435817890412,0.9964157938957214,0.5669028759002686,0.939828097820282
52,0.0074638471771563885,0.9968936443328857,0.7335787415504456,0.9169054627418518
53,0.019600341071977757,0.9925925731658936,0.7519117593765259,0.9255014061927795
54,0.014028588449464235,0.9949820637702942,0.3948594927787781,0.9541547298431396
55,0.008462985594305705,0.9971325993537903,0.15395495295524597,0.9455587267875671
56,0.013044452268948495,0.9947431087493896,0.08139125257730484,0.9350525140762329
57,0.01519305403315125,0.9954599738121033,0.2588557004928589,0.9646609425544739
58,0.014096093609248395,0.9942652583122253,0.7197811007499695,0.9627507328987122
59,0.015021367167376355,0.9945041537284851,0.8531475067138672,0.9474689364433289
60,0.010473701926461491,0.996654748916626,0.2467391937971115,0.9350525140762329
61,0.011774780239151588,0.9954599738121033,1.8646784155862406e-05,0.9522445201873779
62,0.009497755176019914,0.9961768388748169,0.8980998396873474,0.963705837726593
63,0.014965381228620298,0.9956989288330078,0.007253238465636969,0.9531996250152588
64,0.008145169557318126,0.9973715543746948,0.06221194192767143,0.963705837726593
65,0.008898615331580671,0.9968936443328857,0.0934797078371048,0.9522445201873779
66,0.00805044634214974,0.9971325993537903,0.6089432835578918,0.9283667802810669
67,0.01103632303254246,0.9954599738121033,0.02139335684478283,0.970391571521759
68,0.009442453183952258,0.9959378838539124,0.0948391780257225,0.9426934123039246
69,0.01070246941229471,0.9964157938957214,0.009735887870192528,0.963705837726593
70,0.008517039242117441,0.996654748916626,0.6451383829116821,0.9407832026481628
71,0.010203872742750026,0.9956989288330078,0.00032268179347738624,0.9560649394989014
72,0.0101462535504879,0.9964157938957214,1.2313250303268433,0.9379178881645203
73,0.006614677478410701,0.9976105093955994,0.02477160654962063,0.9426934123039246
74,0.010251637571985057,0.9961768388748169,0.035545531660318375,0.958930253982544
75,0.010200862680784935,0.996654748916626,0.38290533423423767,0.9426934123039246
76,0.009214876497014607,0.996654748916626,0.3881775438785553,0.9369627237319946
77,0.008006504944025574,0.9976105093955994,0.24502675235271454,0.9493792057037354
78,0.005405595322605796,0.9973715543746948,0.6789799928665161,0.9369627237319946
79,0.003522943739556477,0.9988052845001221,0.9286945462226868,0.9446036219596863
80,0.011594833255366251,0.996654748916626,0.4066731929779053,0.9350525140762329
81,0.00851310383513528,0.9964157938957214,0.5663607716560364,0.9331423044204712
82,0.004602271907074549,0.9985663294792175,0.026461314409971237,0.9484240412712097
83,0.006320079941475275,0.9985663294792175,0.08783280104398727,0.9579751491546631
84,0.013704473771357391,0.9961768388748169,0.0033981904853135347,0.9675262570381165
85,0.008654581501281886,0.9973715543746948,0.0077943322248756886,0.9245463013648987
86,0.006360558591817609,0.9978494644165039,0.01024641003459692,0.9541547298431396
87,0.008569060333739085,0.9973715543746948,0.16869387030601501,0.9493792057037354
88,0.010378108122015547,0.9964157938957214,0.01075129583477974,0.9560649394989014
89,0.005906864858912293,0.9978494644165039,0.6536203622817993,0.9197707772254944
90,0.008404736919886654,0.9973715543746948,0.8550755977630615,0.9426934123039246
91,0.005057992284387025,0.9988052845001221,0.08050630241632462,0.946513831615448
92,0.005082300990706578,0.9980884194374084,0.4135408401489258,0.9312320947647095
93,0.007707138995904783,0.9968936443328857,0.005593821872025728,0.9417383074760437
94,0.005639957650655539,0.9980884194374084,0.5882062315940857,0.9512894153594971
95,0.003948840432214721,0.998327374458313,0.4341338276863098,0.9446036219596863
96,0.005188467680500633,0.9978494644165039,1.1357654333114624,0.9178605675697327
97,0.007600533008587079,0.9980884194374084,0.12146954983472824,0.9188156723976135
98,0.008094769553498906,0.9971325993537903,3.5018263588426635e-05,0.9617956280708313
99,0.005894271356623279,0.998327374458313,0.0007378224399872124,0.9360076189041138
100,0.008263540538197917,0.9976105093955994,1.0768293142318726,0.9407832026481628
